Extracting MNIST_data\train-images-idx3-ubyte.gz
Extracting MNIST_data\train-labels-idx1-ubyte.gz
Extracting MNIST_data\t10k-images-idx3-ubyte.gz
Extracting MNIST_data\t10k-labels-idx1-ubyte.gz
train loss: 0.1323 | test accuracy: 0.96
train loss: 0.0728 | test accuracy: 0.96
train loss: 0.1111 | test accuracy: 0.97
train loss: 0.0375 | test accuracy: 0.97
train loss: 0.2157 | test accuracy: 0.96
train loss: 0.0567 | test accuracy: 0.96
train loss: 0.0682 | test accuracy: 0.97
train loss: 0.0290 | test accuracy: 0.97
train loss: 0.0849 | test accuracy: 0.97
train loss: 0.0982 | test accuracy: 0.97
train loss: 0.1143 | test accuracy: 0.96
train loss: 0.1745 | test accuracy: 0.94
train loss: 0.0554 | test accuracy: 0.97
train loss: 0.1128 | test accuracy: 0.97
train loss: 0.0530 | test accuracy: 0.97
train loss: 0.0920 | test accuracy: 0.96
train loss: 0.0573 | test accuracy: 0.96
train loss: 0.1831 | test accuracy: 0.96
train loss: 0.0747 | test accuracy: 0.96
train loss: 0.0599 | test accuracy: 0.96
